"","year","state","district","party","votes","median_age","population","white_pop","black_pop","native_pop","asian_pop","hisp_pop","median_income_12mo"
"8637",2014,"TX",25,"republican",107120,35.8,748022,646138,62803,14447,29270,136880,28896
"8638",2014,"TX",26,"republican",87708,34.8,783257,657574,60129,11495,54174,139057,36024
"8639",2014,"TX",27,"republican",83342,36.3,726394,644908,45073,9087,13293,NA,23599
"8640",2014,"TX",28,"republican",15627,31.5,725977,653602,35039,7051,8785,NA,20439
"8641",2014,"TX",29,"republican",10330.25,30.4,749098,557671,89266,8582,10681,577097,21767
"8642",2014,"TX",30,"republican",23260.25,33,744247,368666,331337,6994,16765,NA,22483
"8643",2014,"TX",31,"republican",91607,34.4,776518,614690,99007,10190,44973,184473,31017
"8644",2014,"TX",32,"republican",96495,36.4,747437,544346,102346,11234,63585,193064,32495
"8645",2014,"TX",33,"republican",10942.25,29.8,742701,510596,135151,9825,20829,NA,19845
"8646",2014,"TX",34,"republican",30811,32.5,717582,670066,11262,3589,4588,NA,17912
"8647",2014,"TX",35,"republican",32040,31.4,767436,610832,88408,9286,13538,467718,21653
"8648",2014,"TX",36,"republican",76247.25,36.7,731297,619399,71144,8329,18963,NA,26394
"8649",2014,"UT",1,"republican",84231,30.6,727828,673987,11474,13864,17911,87613,26842
"8650",2014,"UT",2,"republican",88915,31.6,729552,623146,11365,13938,24563,117623,23747
"8651",2014,"UT",3,"republican",77214,28.4,721048,670513,9371,15740,22417,70390,25064
"8652",2014,"UT",4,"republican",74936,30.7,764474,671335,16045,9736,27844,121474,27996
"8653",2014,"VA",1,"republican",131861,37.9,770044,585660,145713,9173,39522,71743,34567
"8654",2014,"VA",2,"republican",101558,35.2,732346,516453,173532,8596,48478,54705,30907
"8655",2014,"VA",3,"republican",34799.25,32.9,753380,282455,447580,11302,23159,45721,23349
"8656",2014,"VA",4,"republican",120684,38.3,746976,474372,249826,7905,24340,40066,30014
"8657",2014,"VA",5,"republican",124735,42.8,733330,559039,156063,5655,15325,26661,24542
"8658",2014,"VA",6,"republican",100423.5,39.8,746357,638313,90762,4580,17031,NA,24484
"8659",2014,"VA",7,"republican",148026,40,769995,600974,126878,7091,43623,45210,35508
"8660",2014,"VA",8,"republican",63810,35.4,774065,528393,116463,5063,108903,148143,51373
"8661",2014,"VA",9,"republican",88098.75,42,715465,661031,46416,4140,9438,NA,20210
"8662",2014,"VA",10,"republican",125914,37.6,802127,617854,68472,6748,125213,101127,47161
"8663",2014,"VA",11,"republican",75796,36.1,782204,506828,115123,8505,157717,148593,45047
"8664",2014,"VT",1,"republican",59432,42.8,626562,603784,9550,9398,12620,NA,26799
"8665",2014,"WA",1,"republican",101428,37.8,713399,610745,14573,16902,79925,62587,37102
"8666",2014,"WA",2,"republican",79518,38.3,708323,590096,29436,21636,79768,76410,29190
"8667",2014,"WA",3,"republican",124796,39.6,697884,634359,19800,18954,33379,NA,26993
"8668",2014,"WA",4,"republican",114809.25,33.6,704219,570880,13703,27177,16822,NA,24068
"8669",2014,"WA",5,"republican",135470,37.4,690518,636963,19997,23755,25110,NA,24012
"8670",2014,"WA",6,"republican",83025,42.1,676910,591038,39086,26021,41028,NA,27913
"8671",2014,"WA",7,"republican",50988.5,37.2,732733,602667,42191,17342,96991,55461,40017
"8672",2014,"WA",8,"republican",125741,37.4,711629,603918,33990,14025,72630,NA,35350
"8673",2014,"WA",9,"republican",48662,37,711466,412722,95024,20422,191074,86197,31492
"8674",2014,"WA",10,"republican",82213,35.8,714449,575502,63794,29981,67026,78278,30486
"8675",2014,"WI",1,"republican",182316,40.3,712072,642780,47705,8964,16827,NA,29676
"8676",2014,"WI",2,"republican",103619,36.5,740988,658618,42737,9327,33843,NA,30272
"8677",2014,"WI",3,"republican",119540,38.3,718518,684781,10858,7413,19657,NA,24994
"8678",2014,"WI",4,"republican",68490,32.8,717657,398290,258697,9926,29348,NA,22393
"8679",2014,"WI",5,"republican",231160,40.9,722537,678563,16769,8026,22946,NA,31951
"8680",2014,"WI",6,"republican",169767,41.9,712031,672455,15411,5507,20025,NA,27477
"8681",2014,"WI",7,"republican",169896,43.9,711006,677003,7973,21911,14097,NA,26248
"8682",2014,"WI",8,"republican",188553,40,722755,663304,15330,22705,18244,NA,28368
"8683",2014,"WV",1,"republican",92491,41.3,616232,591164,19866,2806,7312,NA,22875
"8684",2014,"WV",2,"republican",72619,42.1,628276,592614,37546,4083,6880,NA,24287
"8685",2014,"WV",3,"republican",77713,42.5,605818,576742,28606,4168,3091,NA,20017
"8686",2014,"WY",1,"republican",113038,36.6,584153,544030,9256,22197,7442,NA,29681
"8687",2016,"AK",1,"republican",155088,33.5,741894,536380,37479,145982,61637,NA,31981
"8688",2016,"AL",1,"republican",156062.25,39.6,704457,486372,198362,13363,12529,NA,25500
"8689",2016,"AL",2,"republican",134886,38.2,681621,440558,226633,6507,11198,NA,23108
"8690",2016,"AL",3,"republican",192164,38.3,709482,501611,189825,5156,15071,NA,22907
"8691",2016,"AL",4,"republican",176943.75,40.7,683273,613352,50962,11618,6822,NA,22069
"8692",2016,"AL",5,"republican",205647,40.1,712529,557057,133971,11335,14840,NA,26753
"8693",2016,"AL",6,"republican",245313,39,706308,565744,112612,4865,17279,NA,31291
"8694",2016,"AL",7,"republican",57332.5,36.5,665630,225041,426489,3817,7965,NA,19440
"8695",2016,"AR",1,"republican",137899.5,39.9,725733,578339,137495,12057,5425,NA,21826
"8696",2016,"AR",2,"republican",176472,36.9,758929,559615,181120,9038,15014,NA,26855
"8697",2016,"AR",3,"republican",162894,35.3,794237,681721,30571,21122,28145,112548,25715
"8698",2016,"AR",4,"republican",137163.75,40.8,709349,538879,146912,11331,5115,NA,21343
"8699",2016,"AZ",1,"republican",121745,37.5,766924,526171,25862,193679,17865,NA,23997
"8700",2016,"AZ",2,"republican",179806,40.8,722770,615931,42687,22196,31755,203864,25908
"8701",2016,"AZ",3,"republican",37243.25,32.7,752284,506701,40676,46008,17248,NA,21896
"8702",2016,"AZ",4,"republican",203487,47.9,753807,676612,18955,21716,15846,NA,24763
"8703",2016,"AZ",5,"republican",205184,37.5,785110,687679,36373,11730,43773,142569,33273
"8704",2016,"AZ",6,"republican",201578,42.3,764776,668136,22063,19254,47895,128302,35935
"8705",2016,"AZ",7,"republican",29866.25,29.7,818387,490682,94876,27435,27245,524111,21835
"8706",2016,"AZ",8,"republican",153762.75,42.6,782511,684146,41220,13250,39320,NA,31315
"8707",2016,"AZ",9,"republican",108350,33.5,784502,609764,62220,37707,48478,213462,30582
"8708",2016,"CA",1,"republican",185448,43,703162,642559,15225,29330,28954,NA,23679
"8709",2016,"CA",2,"republican",63548.5,44.1,716202,607432,17197,31194,40222,127270,31246
"8710",2016,"CA",3,"republican",104453,35,740253,538223,59495,23530,98223,219817,27183
"8711",2016,"CA",4,"republican",220133,44.2,737169,652925,15019,21388,51740,101290,34947
"8712",2016,"CA",5,"republican",56131.5,40.4,735968,494625,59626,19521,103469,204489,31892
"8713",2016,"CA",6,"republican",44391.25,33.9,763987,441895,121056,16286,139917,212648,26842
"8714",2016,"CA",7,"republican",145168,38.5,738468,514836,69172,17348,146025,128591,33332
"8715",2016,"CA",8,"republican",136972,34.5,723600,577494,76755,16966,32425,292176,24185
"8716",2016,"CA",9,"republican",98992,35.1,760794,476509,91153,34419,136127,290773,27265
"8717",2016,"CA",10,"republican",124671,34.4,744989,566957,31774,17162,66514,NA,26325
"8718",2016,"CA",11,"republican",83341,39.7,756337,506859,73461,11853,131186,210398,37547
"8719",2016,"CA",12,"republican",68508.75,37.8,756991,404813,49146,7163,268666,112626,51055
"8720",2016,"CA",13,"republican",73279.25,37,755243,359987,153448,17696,184024,159479,34901
"8721",2016,"CA",14,"republican",57907.5,39.6,749041,365092,29045,8554,284407,172550,41653
"8722",2016,"CA",15,"republican",70619,38.6,769371,394105,45153,8830,284368,177275,43528
"8723",2016,"CA",16,"republican",70483,30.2,730141,444081,51939,17922,74882,NA,20071
"8724",2016,"CA",17,"republican",58298,36,774647,250812,28699,6336,441021,127633,49468
"8725",2016,"CA",18,"republican",93470,40.2,739012,492734,21317,8871,196367,125543,53091
"8726",2016,"CA",19,"republican",64061,36,762005,361810,30334,15484,234221,307779,32097
"8727",2016,"CA",20,"republican",74811,34.6,743764,498448,20106,13126,54672,393913,26058
"8728",2016,"CA",21,"republican",75126,29.3,726385,522966,32755,15187,23115,NA,19942
"8729",2016,"CA",22,"republican",158755,32.9,755289,581595,27560,15567,75836,NA,26043
"8730",2016,"CA",23,"republican",167116,33.8,725299,537895,56444,18888,53735,NA,26785
"8731",2016,"CA",24,"republican",144780,35.8,738700,613906,19355,16774,48721,267612,28913
"8732",2016,"CA",25,"republican",138755,36.3,728858,509060,65443,16585,75228,284066,32221
"8733",2016,"CA",26,"republican",111059,37.4,726532,613016,19665,13502,63446,328332,30338
"8734",2016,"CA",27,"republican",81655,42.2,724293,294795,44835,9623,296240,203066,29887
"8735",2016,"CA",28,"republican",52720.75,39.7,709613,497084,28352,7491,112175,174830,31238
"8736",2016,"CA",29,"republican",42956,34.4,726264,433064,28481,8065,62892,496228,22452
"8737",2016,"CA",30,"republican",77325,39.9,759943,540537,54090,7182,105976,215506,34427
"8738",2016,"CA",31,"republican",94866,32.3,742627,490996,90733,18168,69433,397886,25795
"8739",2016,"CA",32,"republican",46661.5,36.1,719488,311534,30119,10869,146092,441014,24314
"8740",2016,"CA",33,"republican",110822,41.7,712919,548491,27330,7626,128934,91846,52135
"8741",2016,"CA",34,"republican",39789,34.5,758622,337044,42175,16881,155349,484523,20675
"8742",2016,"CA",35,"republican",47309,32.3,744729,365767,57079,18122,61997,527633,22391
"8743",2016,"CA",36,"republican",88269,41.1,749841,532082,39093,19302,33952,370893,22511
"8744",2016,"CA",37,"republican",59318,35.7,729010,329152,171907,11197,84868,288700,27827
"8745",2016,"CA",38,"republican",68524,37,708889,324455,40088,6891,129790,426218,27028
"8746",2016,"CA",39,"republican",150777,38.2,729909,379056,24179,10969,249576,250646,31903
"8747",2016,"CA",40,"republican",26638.5,30.6,723345,368118,33988,10016,22870,636736,20326
"8748",2016,"CA",41,"republican",69159,30.9,760165,370658,80332,13132,48746,450959,25421
"8749",2016,"CA",42,"republican",149547,35.2,793044,530245,53736,14875,98010,312449,30496
"8750",2016,"CA",43,"republican",41754.25,35.2,724077,268991,169536,12942,105871,339681,25960
"8751",2016,"CA",44,"republican",44603.25,32.3,723685,340577,120205,9872,45246,511063,21668
"8752",2016,"CA",45,"republican",182618,38.9,774130,517753,17719,4414,221834,140494,42661
"8753",2016,"CA",46,"republican",41148.25,32.1,736031,451478,17630,8850,101076,488378,23714
"8754",2016,"CA",47,"republican",88109,36.4,714311,403522,67588,11165,167548,262376,29820
"8755",2016,"CA",48,"republican",178701,41.8,727100,528505,13366,8005,143417,156640,37790
"8756",2016,"CA",49,"republican",155888,37.2,739697,628300,22471,6024,65769,199327,36040
"8757",2016,"CA",50,"republican",179937,36.9,751527,605763,36926,25346,60022,236000,29662
"8758",2016,"CA",51,"republican",54362,32.5,747202,518301,60583,11927,67800,525778,20360
"8759",2016,"CA",52,"republican",139403,36.6,750537,556442,28867,5184,178055,101718,41305
"8760",2016,"CA",53,"republican",97968,35.3,766812,537095,76827,13133,131707,260027,34691
"8761",2016,"CO",1,"republican",105030,35,812843,652281,80602,14638,37181,224689,35820
"8762",2016,"CO",2,"republican",170001,37.7,803470,744852,13896,12271,33879,84608,32717
"8763",2016,"CO",3,"republican",204220,40.2,738119,671203,11934,28342,10098,179514,26431
"8764",2016,"CO",4,"republican",248230,37.1,795836,747561,15605,11112,20852,176988,32335
"8765",2016,"CO",5,"republican",225445,35.5,786939,684142,61994,16570,32042,124676,30980
"8766",2016,"CO",6,"republican",191626,36.6,813566,609260,90297,13632,63026,156313,35759
"8767",2016,"CO",7,"republican",144066,35.9,789772,711776,22555,17309,32862,234430,33065
"8768",2016,"CT",1,"republican",105674,40.2,712461,511125,124075,7839,42198,119491,36068
"8769",2016,"CT",2,"republican",111149,41.9,705034,629958,41643,11138,30083,58604,33586
"8770",2016,"CT",3,"republican",95786,39.5,717162,537538,113465,6845,39973,110187,34043
"8771",2016,"CT",4,"republican",120653,39.8,732469,554341,105050,7116,47900,144971,37106
"8772",2016,"CT",5,"republican",124900,43.2,709326,597404,57204,5620,29932,129094,35143
"8773",2016,"DE",1,"republican",172301,40.6,952065,679963,225488,10179,43419,87152,31366
"8774",2016,"FL",1,"republican",255107,38.7,762506,613859,118026,14508,32154,48518,26329
"8775",2016,"FL",2,"republican",231163,43.2,720418,603609,97986,10636,18243,46027,24608
"8776",2016,"FL",3,"republican",193843,37.8,732088,578947,126837,8079,30966,70202,23340
"8777",2016,"FL",4,"republican",287509,39.8,778620,659289,74897,7020,48751,63867,34877
"8778",2016,"FL",5,"republican",108325,33,728346,348270,363835,6556,20116,57979,22288
"8779",2016,"FL",6,"republican",213519,47.5,765005,659079,88141,5165,17312,96280,25241
"8780",2016,"FL",7,"republican",171583,36.5,762326,615868,92831,8098,41126,192914,29885
"8781",2016,"FL",8,"republican",246483,48.1,744430,639178,80195,7225,22959,77786,25081
"8782",2016,"FL",9,"republican",144450,37.4,832753,647320,135336,5361,32376,324977,24323
"8783",2016,"FL",10,"republican",107498,35.5,791447,471563,236714,4565,50850,213844,26222
"8784",2016,"FL",11,"republican",258016,55.6,758331,675792,71700,7280,11499,74447,22793
"8785",2016,"FL",12,"republican",253559,46.6,760472,689710,45808,5945,27786,93030,26091
"8786",2016,"FL",13,"republican",171149,46.5,728996,594569,102730,4691,30930,71684,26649
"8787",2016,"FL",14,"republican",121088,36.2,769968,555366,168083,7964,43544,223634,26819
"8788",2016,"FL",15,"republican",182999,38.4,762822,597230,116853,5054,29927,175127,26444
"8789",2016,"FL",16,"republican",230654,47,803454,688564,71661,5364,19891,142084,27747
"8790",2016,"FL",17,"republican",209348,51.3,768138,679626,62503,6159,11629,117927,23961
"8791",2016,"FL",18,"republican",201488,47.1,754652,623498,102395,4257,19976,121586,27146
"8792",2016,"FL",19,"republican",239225,50.2,799332,697643,69073,3368,15903,155349,27131
"8793",2016,"FL",20,"republican",55728.5,36.4,794621,326908,434047,7792,31729,191652,22544
"8794",2016,"FL",21,"republican",118038,45.4,758201,596435,131301,3402,21655,177488,26976
"8795",2016,"FL",22,"republican",138737,45.2,737019,570842,127516,10166,29068,150340,31567
"8796",2016,"FL",23,"republican",130818,41.6,749377,577295,110666,6464,41444,278102,31368
"8797",2016,"FL",24,"republican",0.25,37.1,749624,324523,372199,3709,11011,294916,21329
"8798",2016,"FL",25,"republican",157921,42.5,763628,690761,38492,2684,9286,580988,21381
"8799",2016,"FL",26,"republican",148547,38.4,788816,651923,98039,2119,16817,551752,23709
"8800",2016,"FL",27,"republican",157917,41.9,747049,649741,45427,3815,21247,534078,25950
"8801",2016,"GA",1,"republican",157682.25,35.8,734172,482968,233102,8765,18970,NA,26516
"8802",2016,"GA",2,"republican",94056,36.1,672244,298851,358908,4075,12028,NA,20769
"8803",2016,"GA",3,"republican",207218,38.3,729810,520290,192457,6944,19626,NA,27040
"8804",2016,"GA",4,"republican",55036.5,35.3,752273,235311,454356,6396,37360,NA,28002
"8805",2016,"GA",5,"republican",63445.25,33.8,747809,254461,445925,9562,41595,47775,27204
"8806",2016,"GA",6,"republican",201088,38.4,756004,532480,124907,15336,93498,92695,41303
"8807",2016,"GA",7,"republican",174081,36.5,789864,440253,175326,6099,121784,147115,32281
"8808",2016,"GA",8,"republican",173983,36.7,710108,464557,227842,6160,13457,NA,23895
"8809",2016,"GA",9,"republican",192401.25,40.8,736075,656111,59469,7729,10646,NA,24071
"8810",2016,"GA",10,"republican",182793.75,36.3,741464,523446,192759,4078,20654,NA,24999
"8811",2016,"GA",11,"republican",217935,36.3,764184,571257,138146,9279,30019,92708,32739
"8812",2016,"GA",12,"republican",159492,35.7,719970,430986,262294,4258,16522,NA,22781
"8813",2016,"GA",13,"republican",63208.25,35.2,746218,241326,460588,6626,25698,NA,30060
"8814",2016,"GA",14,"republican",162557.25,38.1,710176,610838,75348,8539,9658,NA,24747
"8815",2016,"HI",1,"republican",36354.25,39.2,706501,233487,27412,10604,479905,NA,35153
"8816",2016,"HI",2,"republican",42712,38.5,722056,380001,22100,22711,330722,NA,30871
"8817",2016,"IA",1,"republican",206903,38.8,771008,716531,36656,5401,15613,NA,30235
"8818",2016,"IA",2,"republican",170933,38,778964,712101,40468,5134,21675,NA,28019
"8819",2016,"IA",3,"republican",208598,36.9,824082,744271,46617,7622,32202,55184,32570
"8820",2016,"IA",4,"republican",226719,39.1,760639,715050,18622,7252,17704,NA,27932
"8821",2016,"ID",1,"republican",242252,38,864758,794603,6944,22779,17135,NA,25167
"8822",2016,"ID",2,"republican",205292,34,818382,753621,11941,20203,21154,NA,25216
"8823",2016,"IL",1,"republican",81817,39.4,691474,303495,353180,4143,15549,NA,27536
"8824",2016,"IL",2,"republican",58762.75,38,713917,273860,415970,4360,7331,NA,25307
"8825",2016,"IL",3,"republican",56330,37.7,720930,543977,42781,4490,32895,NA,30716
"8826",2016,"IL",4,"republican",42824.25,33.2,695098,399798,33023,7825,31081,487383,26117
"8827",2016,"IL",5,"republican",86222,35,723373,615894,26047,5043,61504,139326,41811
"8828",2016,"IL",6,"republican",208555,40.5,722323,618798,24787,4439,75432,NA,41154
"8829",2016,"IL",7,"republican",62646,34.5,723481,269599,349418,4249,59307,119971,30353
"8830",2016,"IL",8,"republican",103617,37.3,717789,483279,37897,6162,98333,210817,32125
"8831",2016,"IL",9,"republican",109550,40.1,724071,533356,78480,4779,108100,78549,35111
"8832",2016,"IL",10,"republican",135535,38.2,710610,521450,55987,4865,87149,NA,32450
"8833",2016,"IL",11,"republican",108995,36.1,730480,497436,89236,8443,70178,NA,31838
"8834",2016,"IL",12,"republican",169976,39.4,693736,557345,127745,6097,12703,NA,26328
"8835",2016,"IL",13,"republican",187583,36.9,704699,592440,88395,9302,31862,NA,27105
"8836",2016,"IL",14,"republican",200508,38.9,736397,651116,32011,4316,39623,NA,37090
"8837",2016,"IL",15,"republican",205915.5,40.5,700549,658324,37420,3490,6572,NA,26993
"8838",2016,"IL",16,"republican",194791.5,41,687998,637925,29723,5330,13330,NA,27933
"8839",2016,"IL",17,"republican",113943,40.2,691212,585648,93229,6641,13547,NA,25246
"8840",2016,"IL",18,"republican",250506,40.6,713402,658606,34805,4955,22324,NA,31941
"8841",2016,"IN",1,"republican",51878.75,38.7,711958,515576,142625,4577,12456,NA,27544
"8842",2016,"IN",2,"republican",164355,38,724060,641371,59081,6296,12522,NA,25830
"8843",2016,"IN",3,"republican",151047,37.2,740262,668904,55262,10052,18916,NA,27411
"8844",2016,"IN",4,"republican",193412,36.6,749049,674747,39031,4633,23785,NA,27152
"8845",2016,"IN",5,"republican",221957,37.9,768412,671043,69685,4659,32236,NA,35108
"8846",2016,"IN",6,"republican",204920,40.1,720656,679115,25527,3598,11948,NA,26815
"8847",2016,"IN",7,"republican",94456,33.8,751554,460867,248290,7152,26687,NA,25371
"8848",2016,"IN",8,"republican",187702,39.4,717028,672392,37890,5187,10551,NA,26041
"8849",2016,"IN",9,"republican",174791,38,750074,701778,27037,4340,23454,NA,27007
"8850",2016,"KS",1,"republican",127494,35.4,708078,652088,30088,10647,16689,NA,25565
"8851",2016,"KS",2,"republican",181228,37.5,716597,641905,44056,23692,14326,NA,26636
"8852",2016,"KS",3,"republican",176022,36.8,759978,638167,74982,9055,41315,NA,36150
"8853",2016,"KS",4,"republican",166998,36.3,722636,622649,62105,19513,28465,88661,28259
"8854",2016,"KY",1,"republican",216959,40.2,717739,650644,61663,5026,4217,NA,21895
"8855",2016,"KY",2,"republican",188868.75,38.4,754967,689602,55117,5934,14689,NA,25237
"8856",2016,"KY",3,"republican",122093,38.2,740860,547544,175732,6188,23508,NA,29095
"8857",2016,"KY",4,"republican",233922,38.5,754502,710590,36117,6031,13976,NA,30419
"8858",2016,"KY",5,"republican",165931.5,41,703315,687395,13390,3664,1944,NA,17684
"8859",2016,"KY",6,"republican",202099,36.7,765591,665317,78313,5427,18770,NA,25836
"8860",2016,"LA",1,"republican",182733.75,38.4,803427,644343,123340,15983,20805,70804,28844
"8861",2016,"LA",2,"republican",71067.25,35.9,792390,258077,499944,7713,23925,50466,21918
"8862",2016,"LA",3,"republican",165465.75,36,785686,566104,208009,8645,13186,NA,25176
"8863",2016,"LA",4,"republican",162405,36.7,753181,467650,268454,11585,10425,NA,21419
"8864",2016,"LA",5,"republican",191746.5,37.4,748306,475357,264423,6444,6509,NA,20361
"8865",2016,"LA",6,"republican",180806.25,35.2,798676,573333,199296,12691,18680,NA,30586
"8866",2016,"MA",1,"republican",58950.75,40.9,729294,645140,56331,3997,19889,NA,28786
"8867",2016,"MA",2,"republican",68871.75,39,749202,639235,48451,5515,47527,74832,31567
"8868",2016,"MA",3,"republican",107519,39.3,761611,619797,35319,5377,69536,142917,32333
"8869",2016,"MA",4,"republican",113055,41.4,753156,661583,33019,3316,52846,37705,41555
"8870",2016,"MA",5,"republican",71401.5,39.4,759165,605702,51319,4481,95573,69523,41825
"8871",2016,"MA",6,"republican",77230.75,42.8,766310,664748,39111,3939,35980,71637,37957
"8872",2016,"MA",7,"republican",63338.5,31.8,779173,434033,253030,8343,90749,167874,30595
"8873",2016,"MA",8,"republican",102744,39.3,773806,599093,83694,3959,72013,47559,40453
"8874",2016,"MA",9,"republican",127803,45.5,740062,667467,27235,7327,16044,38584,32183
"8875",2016,"MD",1,"republican",242574,42.5,735590,617643,102809,5478,21761,NA,31976
"8876",2016,"MD",2,"republican",102577,36.2,764948,443023,277464,7766,50827,54268,34591
"8877",2016,"MD",3,"republican",115048,38.2,764166,503215,182705,5770,70968,67469,40601
"8878",2016,"MD",4,"republican",59375.25,36.8,755108,243418,405518,7433,27632,130870,38081
"8879",2016,"MD",5,"republican",105931,38.3,758857,396278,315852,13951,43212,59788,41691
"8880",2016,"MD",6,"republican",133081,38.9,757889,549667,119495,5744,92455,101535,34119
"8881",2016,"MD",7,"republican",59709.5,37.7,722745,274445,391979,6972,61078,28968,32159
"8882",2016,"MD",8,"republican",124651,40.4,757144,529837,107499,5736,81335,115214,46075
"8883",2016,"ME",1,"republican",164569,44.3,676165,647700,15822,6726,16060,NA,30443
"8884",2016,"ME",2,"republican",192878,44.7,655314,634695,10770,14791,7672,NA,23611
"8885",2016,"MI",1,"republican",197777,46.4,699621,664627,14148,30872,7823,NA,23887
"8886",2016,"MI",2,"republican",212508,36.8,734965,648165,61110,10820,22677,NA,25687
"8887",2016,"MI",3,"republican",203545,37.2,733618,640810,73421,10918,17843,NA,27460
"8888",2016,"MI",4,"republican",194572,41.4,700487,673581,18230,11656,10246,NA,23724
"8889",2016,"MI",5,"republican",112102,41,681278,544754,131353,9782,8622,NA,24090
"8890",2016,"MI",6,"republican",193259,38.8,716163,632183,72080,13135,15809,NA,25873
"8891",2016,"MI",7,"republican",184321,41.9,700983,653745,38798,8796,11522,NA,29213
"8892",2016,"MI",8,"republican",205629,38.1,734008,645164,53887,8084,41022,NA,30710
"8893",2016,"MI",9,"republican",128937,40.5,711069,567979,111413,8102,38994,NA,30804
"8894",2016,"MI",10,"republican",215132,43.6,714802,680161,22237,8239,15139,NA,30054
"8895",2016,"MI",11,"republican",200872,41.5,732690,620471,45557,7063,76447,NA,38519
"8896",2016,"MI",12,"republican",96104,35.3,708880,582522,90275,11743,43020,43954,29027
"8897",2016,"MI",13,"republican",49692.75,36.3,658383,261872,372824,9674,14072,NA,21041
"8898",2016,"MI",14,"republican",61033.75,37.7,701353,252183,409091,8761,38963,NA,24860
"8899",2016,"MN",1,"republican",166524,38.3,672415,618186,25176,4344,23322,NA,31087
"8900",2016,"MN",2,"republican",173970,37.7,700264,613384,42184,7663,39359,NA,37594
"8901",2016,"MN",3,"republican",223075,40.1,709906,583642,66055,6354,58484,NA,41631
"8902",2016,"MN",4,"republican",121033,36,702162,522044,84294,10564,97468,NA,33136
"8903",2016,"MN",5,"republican",62489.25,34,708082,503977,133664,15740,52070,62381,31895
"8904",2016,"MN",6,"republican",235385,37.1,696720,646394,25735,6896,23650,NA,35570
"8905",2016,"MN",7,"republican",156944,40.2,668049,622909,11304,27606,9101,NA,28397
"8906",2016,"MN",8,"republican",177088,43.4,662354,627919,11473,27226,7269,NA,27243
"8907",2016,"MO",1,"republican",59248.25,35.5,735410,337647,375546,8422,27757,NA,26021
"8908",2016,"MO",2,"republican",241954,43.2,763176,693732,35082,3517,40231,NA,38538
"8909",2016,"MO",3,"republican",249865,38.7,783679,741807,36319,7487,10421,NA,30901
"8910",2016,"MO",4,"republican",225348,36.6,761860,697525,46172,12084,17830,NA,24126
"8911",2016,"MO",5,"republican",123771,37.1,763288,540835,182370,11347,18999,NA,27549
"8912",2016,"MO",6,"republican",238388,38.7,767878,714559,41151,7765,14889,NA,28498
"8913",2016,"MO",7,"republican",228692,37.7,776586,730739,20582,18798,12895,NA,23763
"8914",2016,"MO",8,"republican",172344,40.8,741123,693304,39918,10994,8181,NA,21301
"8915",2016,"MS",1,"republican",206455,37.9,764223,533227,220157,5564,6716,NA,23234
"8916",2016,"MS",2,"republican",83542,36.2,705911,221699,473199,3887,3479,NA,20023
"8917",2016,"MS",3,"republican",209490,37.1,751004,461705,271553,8500,7550,NA,23488
"8918",2016,"MS",4,"republican",181323,37.5,767588,561633,188723,6638,15779,NA,22344
"8919",2016,"MT",1,"republican",285358,40.1,1042520,957640,9759,87763,14044,NA,25985
"8920",2016,"NC",1,"republican",101567,38,750278,368934,350366,12735,18178,NA,23290
"8921",2016,"NC",2,"republican",221485,37.8,819899,606769,176635,10281,20327,78269,31298
"8922",2016,"NC",3,"republican",217531,37.2,754350,573093,169084,15125,17023,NA,25199
"8923",2016,"NC",4,"republican",130161,34.9,847032,542511,202402,13928,82422,86426,35700
"8924",2016,"NC",5,"republican",207625,40.5,751232,607233,118303,6840,14649,NA,23907
"8925",2016,"NC",6,"republican",207983,41.1,763491,562263,166768,10045,13944,NA,25495
"8926",2016,"NC",7,"republican",211801,42.1,780442,601411,159956,12211,10654,NA,23583
"8927",2016,"NC",8,"republican",189863,36.3,774967,532798,195809,15933,25617,76701,26677
"8928",2016,"NC",9,"republican",193452,39,778477,526871,160315,68638,24260,59456,28562
"8929",2016,"NC",10,"republican",220825,41.8,759453,627649,97304,8141,14817,NA,24670
"8930",2016,"NC",11,"republican",230405,45.3,749597,689350,31344,16314,9547,NA,23233
"8931",2016,"NC",12,"republican",115185,33.6,849357,422555,332611,7315,53756,127209,31358
"8932",2016,"NC",13,"republican",199443,39.5,768213,549285,176584,7606,31467,NA,25340
"8933",2016,"ND",1,"republican",233980,35,757953,681403,22571,53166,13470,NA,32224
"8934",2016,"NE",1,"republican",189771,35.4,639048,585411,26914,11929,20947,NA,30197
"8935",2016,"NE",2,"republican",141066,34.8,661142,558654,73200,7321,28258,NA,33430
"8936",2016,"NE",3,"republican",170040,39.8,606926,571441,10908,9773,5078,NA,27047
"8937",2016,"NH",1,"republican",157176,41.9,671625,641377,14283,3507,22994,NA,33064
"8938",2016,"NH",2,"republican",158825,43.6,663170,632881,12195,6698,19493,NA,32308
"8939",2016,"NJ",1,"republican",112388,38.8,731932,514415,138629,4666,44276,99258,32284
"8940",2016,"NJ",2,"republican",176338,41.4,725217,563189,100633,8058,33038,119139,27340
"8941",2016,"NJ",3,"republican",194596,43.3,739696,609217,94321,7970,35066,59571,35722
"8942",2016,"NJ",4,"republican",211992,41.3,732142,630470,56216,2915,30848,74041,36014
"8943",2016,"NJ",5,"republican",157690,42.3,742865,605128,48094,3729,89864,104283,43964
"8944",2016,"NJ",6,"republican",91908,37.6,750419,491684,82810,4918,151751,164848,34874
